alias_key,raw_alias,language,preferred_targets,notes
windows.7,windows.7,en,windows_7,auto_from_registry
windows.8,windows.8,en,windows_8,auto_from_registry
windows.98,windows.98,en,windows_98,auto_from_registry
windows.ce,windows.ce,en,windows_ce,auto_from_registry
windows.mobile,windows.mobile,en,windows_mobile,auto_from_registry
windows.nt,windows.nt,en,windows_nt,auto_from_registry
windows.server.2012.2019.2022,windows.server.2012.2019.2022,en,windows_server_2012_2019_2022,auto_from_registry
windows.vista,windows.vista,en,windows_vista,auto_from_registry
windows.xp,windows.xp,en,windows_xp,auto_from_registry
windows_server,Windows Server,en,windows_server_2012_2019_2022,auto_from_registry
xml.web.services,xml.web.services,en,xml_web_services,auto_from_registry
商業智慧_分析與應用,商業智慧 分析與應用,zh,商業智慧_bi分析與應用,auto_from_registry
大型語言模型_應用開發,大型語言模型 應用開發,zh,大型語言模型_llm應用開發,auto_from_registry
抽_水站之操作與維護,抽 水站之操作與維護,zh,抽_揚水站之操作與維護,auto_from_registry
搜尋引擎優化,搜尋引擎優化,zh,seo_搜尋引擎優化,curated_v0.2
機器學習_模型開發與應用,機器學習 模型開發與應用,zh,機器學習_machine_learning模型開發與應用,auto_from_registry
正航,正航,zh,正航,Taiwan ERP | from_v0.1
熟悉文件管制中心_作業程序,熟悉文件管制中心 作業程序,zh,熟悉文件管制中心_dcc作業程序,auto_from_registry
特徵工程,特徵工程,zh,feature_engineering_特徵工程,auto_from_registry
管線儀表流程圖,管線儀表流程圖,zh,管線儀表流程圖_p&id,auto_from_registry
自然語言處理_技術應用,自然語言處理 技術應用,zh,自然語言處理_nlp技術應用,auto_from_registry
防火牆,防火牆,zh,firewall_防火牆,auto_from_registry
阻抗匹配_設計能力,阻抗匹配 設計能力,zh,阻抗匹配_smith_chart設計能力,auto_from_registry
鼎新,鼎新,zh,鼎新_erp,curated_v0.2
鼎新erp,鼎新erp,mixed,鼎新_erp,curated_v0.2
